enrollee_id,city,city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_nan,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_nan,gender_Female,gender_Male,gender_Other,gender_nan
17998,50,0.8959999999999999,1,0,3,25,100.0,1,0.08656716417910447,0.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
22723,114,0.926,1,0,2,7,100.0,1,0.25074626865671645,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
9864,11,0.55,0,0,2,7,100.0,0,0.2537313432835821,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
24367,136,0.897,1,0,4,16,100.0,5,0.13432835820895522,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
4120,16,0.91,0,2,4,13,100.0,3,0.04776119402985075,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
31090,11,0.55,1,0,3,6,100.0,1,0.14029850746268657,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
29232,103,0.92,1,0,3,25,500.0,1,0.21194029850746268,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
5417,10,0.895,1,0,3,12,5000.0,5,0.03880597014925373,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
25430,16,0.91,1,0,2,25,100.0,1,0.20597014925373133,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
17678,103,0.92,1,0,3,25,100.0,5,0.5880597014925373,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
4060,89,0.925,1,0,4,19,10.0,5,0.01492537313432836,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
25518,160,0.92,1,0,3,7,10.0,5,0.06865671641791045,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
8538,83,0.923,1,2,4,7,100.0,2,0.08955223880597014,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
24677,41,0.8270000000000001,1,0,4,25,1000.0,5,0.4746268656716418,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10028,73,0.754,1,0,3,15,5000.0,1,0.12238805970149252,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
30935,21,0.624,1,2,3,5,500.0,1,0.12238805970149252,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
738,23,0.899,1,1,2,10,50000.0,5,0.19402985074626866,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2593,173,0.878,1,0,2,3,500.0,1,0.011940298507462687,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
31178,102,0.804,1,2,2,5,500.0,1,0.23283582089552238,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
29797,103,0.92,1,0,3,25,5000.0,5,0.2686567164179105,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
3998,98,0.949,0,2,3,9,10.0,1,0.17313432835820897,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
19684,114,0.926,1,0,2,6,500.0,5,0.15223880597014924,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2333,16,0.91,0,0,3,1,100.0,1,0.31343283582089554,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
14396,75,0.939,1,0,4,25,10.0,5,0.035820895522388055,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
13808,41,0.8270000000000001,1,0,2,3,10.0,1,0.023880597014925373,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1277,28,0.939,0,0,2,4,100.0,0,0.1253731343283582,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
11988,27,0.848,0,0,2,4,100.0,0,0.04477611940298507,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
26776,145,0.555,0,1,3,0,100.0,1,0.1701492537313433,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
2229,102,0.804,1,0,5,7,1000.0,5,0.01791044776119403,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
20214,103,0.92,0,1,2,2,100.0,1,0.1373134328358209,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
5315,21,0.624,0,2,3,1,100.0,0,0.2776119402985075,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
27673,16,0.91,1,0,3,20,100.0,1,0.05373134328358209,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7578,75,0.939,0,0,3,25,10.0,5,0.24477611940298508,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
13766,144,0.84,1,0,3,8,10.0,1,0.023880597014925373,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
31843,97,0.925,1,0,3,15,5000.0,4,0.3194029850746269,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
3685,103,0.92,1,0,3,25,100.0,5,0.3283582089552239,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
10669,136,0.897,0,2,3,0,100.0,0,0.050746268656716415,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
18283,103,0.92,0,0,2,2,50000.0,1,0.1582089552238806,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
20839,23,0.899,1,0,3,25,50000.0,5,0.14626865671641792,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
21599,114,0.926,1,0,5,25,5000.0,1,0.1373134328358209,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
21251,103,0.92,1,0,3,25,100.0,1,0.25970149253731345,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2602,21,0.624,1,0,3,10,50000.0,1,0.6597014925373134,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
8088,75,0.939,0,1,3,9,100.0,0,0.023880597014925373,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
29302,73,0.754,0,0,4,10,100.0,1,0.4656716417910448,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
24839,25,0.698,0,2,3,2,100.0,0,0.3313432835820896,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
19157,103,0.92,1,2,4,7,50000.0,1,0.08656716417910447,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
28183,160,0.92,0,2,2,6,100.0,1,0.05671641791044776,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
16069,103,0.92,1,2,3,6,10000.0,1,0.11044776119402985,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
18783,103,0.92,1,0,3,25,100.0,5,0.30149253731343284,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
5131,103,0.92,0,0,3,25,1000.0,1,0.27164179104477615,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
26316,21,0.624,1,0,4,14,10000.0,1,0.2567164179104478,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
18637,114,0.926,0,2,2,3,10000.0,1,0.13432835820895522,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
19523,89,0.925,1,0,3,10,500.0,4,0.059701492537313425,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
16527,21,0.624,1,1,4,3,1000.0,1,0.16119402985074627,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2261,21,0.624,1,0,3,12,5000.0,2,0.04776119402985075,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
20944,16,0.91,0,2,3,5,100.0,1,0.07462686567164178,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
26641,103,0.92,1,0,3,17,5000.0,4,0.5701492537313433,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
21953,102,0.804,1,0,4,3,100.0,1,0.029850746268656716,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
5181,101,0.5579999999999999,0,0,1,4,100.0,1,0.11641791044776119,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
20072,1,0.847,1,0,3,13,50.0,1,0.06567164179104477,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
11750,11,0.55,1,0,3,17,5000.0,4,0.035820895522388055,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
26323,103,0.92,0,0,3,0,5000.0,5,0.3850746268656717,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2905,103,0.92,1,0,3,13,500.0,1,0.08358208955223881,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2968,114,0.926,0,2,2,14,50.0,1,0.09850746268656717,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
29864,100,0.887,1,0,2,3,100.0,1,0.07462686567164178,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
22003,103,0.92,0,0,3,7,100.0,1,0.005970149253731344,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
4733,103,0.92,1,0,3,25,5000.0,4,0.28358208955223885,0.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
